"title","author","subject","abstract","date"
"data-driven cold starting of good reservoirs","lyudmila grigoryeva, boumediene hamzi, felix p. kemeth, yannis kevrekidis, g manjunath, juan-pablo ortega, matthys j. steynberg","dynamical systems","using short histories of observations from a dynamical system, a workflow for the post-training initialization of reservoir computing systems is described. this strategy is called cold-starting, and it is based on a map called the starting map, which is determined by an appropriately short history of observations that maps to a unique initial condition in the reservoir space. the time series generated by the reservoir system using that initial state can be used to run the system in autonomous mode, to produce accurate forecasts of the time series under consideration immediately. by utilizing this map, the lengthy ""washouts"" that are necessary to initialize reservoir systems can be eliminated, enabling the generation of forecasts using any selection of appropriately short histories of the observations.",2024-03-15
"multifractal scaling and the euler equations on r^3/z^3","henrik ueberschaer","analysis of pdes","we study the euler equations describing the motion of an incompressible fluid on the cubic torus with real initial data. we construct solutions on the fourier side which display a sudden loss of regularity within finite time even for highly regular initial data. moreover, the solution may regain its initial regularity within finite time. this loss of regularity may coincide with the appearance of a certain type of multifractal scaling of the solutions.",2024-03-15
"hunter's positivity theorem and random vector norms","ludovick bouthat, ángel chávez, stephan ramon garcia","functional analysis","a theorem of hunter ensures that the complete homogeneous symmetric polynomials of even degree are positive definite functions. a probabilistic interpretation of hunter's theorem suggests a broad generalization: the construction of so-called random vector norms on square complex matrices. this paper surveys these ideas, starting from the fundamental notions and developing the theory to its present state. we study numerous examples and present a host of open problems.",2024-03-15
"a canonical tree decomposition for order types, and some applications","mathilde bouvel, valentin féray, xavier goaoc, florent koechlin","computational geometry","we introduce and study a notion of decomposition of planar point sets (or rather of their chirotopes) as trees decorated by smaller chirotopes. this decomposition is based on the concept of mutually avoiding sets (which we rephrase as \emph{modules}), and adapts in some sense the modular decomposition of graphs in the world of chirotopes. the associated tree always exists and is unique up to some appropriate constraints. we also show how to compute the number of triangulations of a chirotope efficiently, starting from its tree and the (weighted) numbers of triangulations of its parts.",2024-03-15
"supplement matrix and a practical method for computing eigenvalues of a dual hermitian matrix","liqun qi, chunfeng cui","numerical analysis","we study dual number symmetric matrices, dual complex hermitian matrices and dual quaternion hermitian matrices in a unified frame of dual hermitian matrices. suppose we have a ring, which can be the real field, the complex field, or the quaternion ring. then an $n \times n$ dual hermitian matrix has $n$ dual number eigenvalues. we define supplement matrices for a dual hermitian matrix. supplement matrices are hermitian matrices in the original ring. the standard parts of the eigenvalues of that dual hermitian matrix are the eigenvalues of the standard part hermitian matrix in the original ring, while the dual parts of the eigenvalues of that dual hermitian matrix are the eigenvalues of those {supplement} matrices. hence, by apply any practical method for computing eigenvalues of hermitian matrices in the original ring, we have a practical method for computing eigenvalues of a dual hermitian matrix. we call this method the supplement matrix method. applications to low rank approximation and generalized inverses of dual matrices, dual least squares problem and formation control are discussed. numerical experiments are reported.",2024-03-15
"a general non-strict finsler's lemma","t.j. meijer, k.j.a. scheres, s. van den eijnden, t. holicki, c.w. scherer, w.p.m.h. heemels","optimization and control","in this paper, we present a general non-strict finsler's lemma. this result is general in the sense that it does not impose any restrictions on the involved matrices and, thereby, is more broadly applicable than existing non-strict versions of finsler's lemma that do impose such restrictions. in fact, we show that this new non-strict formulation generalizes both the original strict finsler's lemma as well as an existing non-strict version. to further illustrate its usefulness, we showcase applications of the non-strict finsler's lemma in deriving a closed-form solution to the non-strict projection lemma, and a matrix finsler's lemma, which is useful for data-driven control.",2024-03-15
"the reliability of the gender implicit association test (giat) for high-ability careers","s. stanley young, warren b. kindzierski","applications","males outnumber females in many high ability careers, for example, in the fields of science, technology, engineering, and mathematics and professors in academic medicine. these differences are often attributed to implicit, subconscious, bias. one objective of this study was to use statistical p value plots to independently test the ability to support the claim of implicit bias made in a meta analysis of gender bias studies. the meta analysis examined correlations between implicit bias measures based on the gender implicit association test, g iat, and measures of intergroup, female and male, behavior. a second objective was to investigate general intelligence g and vocational, things people, interests as explanatory factors for gender differences in high ability careers. the p value plots constructed using data sets from the meta analysis did not support real associations between the tested variables. these findings reinforce the lack of correlation between g iat, implicit bias, measures and real world gender behaviors in high ability careers. more demanding careers, attorneys, engineers, scientists, corporate executives, are recruited from people with higher g. one is dealing with gender groups and the group of high g females is smaller than high g males. regarding vocational interests, females prefer working with people and males prefer working with things. stem fields are typically things oriented. one is dealing with gender groups and the group of females who prefer working with things is smaller than the group of males. these facts make it predictable that there are more males in high complexity, things careers, stem, academic medicine positions, than females. implicit bias giat measures have little or no explanatory power for gender differences in high ability careers relative to g and interests in working with things.",2024-03-15
"boundary parameter matching for isogeometric analysis using schwarz-christoffel mapping","ye ji, matthias möller, yingying yu, chungang zhu","numerical analysis","isogeometric analysis has brought a paradigm shift in integrating computational simulations with geometric designs across engineering disciplines. this technique necessitates analysis-suitable parameterization of physical domains to fully harness the synergy between computer-aided design and computer-aided engineering analyses. the existing methods often fix boundary parameters, leading to challenges in elongated geometries such as fluid channels and tubular reactors. this paper presents an innovative solution for the boundary parameter matching problem, specifically designed for analysis-suitable parameterizations. we employ a sophisticated schwarz-christoffel mapping technique, which is instrumental in computing boundary correspondences. a refined boundary curve reparameterization process complements this. our dual-strategy approach maintains the geometric exactness and continuity of input physical domains, overcoming limitations often encountered with the existing reparameterization techniques. by employing our proposed boundary parameter method, we show that even a simple linear interpolation approach can effectively construct a satisfactory analysis-suitable parameterization. our methodology offers significant improvements over traditional practices, enabling the generation of analysis-suitable and geometrically precise models, which is crucial for ensuring accurate simulation results. numerical experiments show the capacity of the proposed method to enhance the quality and reliability of isogeometric analysis workflows.",2024-03-15
"optimal control of stationary doubly diffusive flows on two and three dimensional bounded lipschitz domains: numerical analysis","jai tushar, arbaz khan, manil t. mohan","numerical analysis","in this work, we propose fully nonconforming, locally exactly divergence-free discretizations based on lowest order crouziex-raviart finite element and piecewise constant spaces to study the optimal control of stationary double diffusion model presented in [bürger, méndez, ruiz-baier, sinum (2019), 57:1318-1343]. the well-posedness of the discrete uncontrolled state and adjoint equations are discussed using discrete lifting and fixed point arguments, and convergence results are derived rigorously under minimal regularity. building upon our recent work [tushar, khan, mohan arxiv (2023)], we prove the local optimality of a reference control using second-order sufficient optimality condition for the control problem, and use it along with an optimize-then-discretize approach to prove optimal order a priori error estimates for the control, state and adjoint variables upto the regularity of the solution. the optimal control is computed using a primal-dual active set strategy as a semi-smooth newton method and computational tests validate the predicted error decay rates and illustrate the proposed scheme's applicability to optimal control of thermohaline circulation problems.",2024-03-15
"almost sure otm-realizability","merlin carl","logic","combining the approaches made in works with galeotti and passmann, we define and study a notion of ""almost sure"" realizability with parameter-free ordinal turing machines (otms). in particular, we show that, in contrast to the classical case, almost sure realizability differs from plain realizability, while closure under intuitionistic predicate logic and realizability of kripke-platek set theory continue to hold.",2024-03-15
"topological noetherianity of the infinite half-spin representations","christopher chiu, jan draisma, rob eggermont, tim seynnaeve, nafie tairi","algebraic geometry","we prove that the infinite half-spin representations are topologically noetherian with respect to the infinite spin group. as a consequence we obtain that half-spin varieties, which we introduce, are defined by the pullback of equations at a finite level. the main example for such varieties is the infinite isotropic grassmannian in its spinor embedding, for which we explicitly determine its defining equations.",2024-03-15
"discrete functional inequalities on lattice graphs","shubham gupta","functional analysis","in this thesis, we study problems at the interface of analysis and discrete mathematics. we discuss analogues of well known hardy-type inequalities and rearrangement inequalities on the lattice graphs $\mathbb{z}^d$, with a particular focus on behaviour of sharp constants and this http url the first half of the thesis, we analyse hardy inequalities on $\mathbb{z}^d$, first for $d=1$ and then for $d \geq 3$. we prove a sharp weighted hardy inequality on integers with power weights of the form $n^\alpha$. this is done via two different methods, namely super-solution and fourier method. we also use fourier method to prove a weighted hardy type inequality for higher order operators. after discussing the one dimensional case, we study the hardy inequality in higher dimensions ($d \geq 3$). in particular, we compute the asymptotic behaviour of the sharp constant in the discrete hardy inequality, as $d \rightarrow \infty$. this is done by converting the inequality into a continuous hardy-type inequality on a torus for functions having zero average. these continuous inequalities are new and interesting in themselves. in the second half, we focus our attention on analogues of rearrangement inequalities on lattice graphs. we begin by analysing the situation in dimension one. we define various notions of rearrangements and prove the corresponding polya-szegő inequality. these inequalities are also applied to prove some weighted hardy inequalities on integers. finally, we study rearrangement inequalities (polya-szegő) on general graphs, with a particular focus on lattice graphs $\mathbb{z}^d$, for $d \geq 2$. we develop a framework to study these inequalities, using which we derive concrete results in dimension two. in particular, these results develop connections between polya-szegő inequality and various isoperimetric inequalities on graphs.",2024-03-15
"moduli spaces of quadratic differentials: abel-jacobi map and deformation","yu qiu","geometric topology","we study the moduli space of quadratic differentials with prescribed singularities parameterized by a decorated marked surface with punctures (dmsp), where simple zeros, double poles and higher order poles respectively correspond to decorations, punctures and boundary components. we show that the fundamental group of this space equals the kernel of the abel-jacobi map from the mapping class group of dmsp to the first homology group of the marked surface (without decorations/punctures). moreover, a universal cover of this space is given by the space of stability conditions on the associated 3-calabi-yau category. furthermore, when we partial compactify (and orbifold) the moduli space by allowing the collision of simple zeros and some of the double poles, the resulting moduli space is isomorphic to a quotient of the space of stability conditions on the deformed (with respect to those collidable double poles) 3-calabi-yau category.",2024-03-15
"structural preprocessing method for nonlinear differential-algebraic equations using linear symbolic matrices","taihei oki, yujin song","symbolic computation","differential-algebraic equations (daes) have been used in modeling various dynamical systems in science and engineering. several preprocessing methods for daes, such as consistent initialization and index reduction, use structural information on daes. unfortunately, these methods may fail when the system jacobian, which is a functional matrix, derived from the dae is singular. to transform a dae with a singular system jacobian into a nonsingular system, several regularization methods have been proposed. most of all existing regularization methods rely on symbolic computation to eliminate the system jacobian for finding a certificate of singularity, resulting in much computational time. iwata--oki--takamatsu (2019) proposed a method (iot-method) to find a certificate without symbolic computations. the iot method approximates the system jacobian by a simpler symbolic matrix, called a layered mixed matrix, which admits a fast combinatorial algorithm for singularity testing. however, it often overlooks the singularity of the system jacobian since the approximation largely discards algebraic relationships among entries in the original system jacobian. in this study, we propose a new regularization method extending the idea of the iot method. instead of layered mixed matrices, our method approximates the system jacobian by more expressive symbolic matrices, called rank-1 coefficient mixed (1cm) matrices. this makes our method more widely applicable. we give a fast combinatorial algorithm for finding a singularity certificate of 1cm-matrices, which is free from symbolic elimination. our method is also advantageous in that it globally preserves the solution set to the dae. through numerical experiments, we confirmed that our method runs fast for large-scale daes from real instances.",2024-03-15
"interpretable machine learning for survival analysis","sophie hanna langbein, mateusz krzyziński, mikołaj spytek, hubert baniecki, przemysław biecek, marvin n. wright","machine learning","with the spread and rapid advancement of black box machine learning models, the field of interpretable machine learning (iml) or explainable artificial intelligence (xai) has become increasingly important over the last decade. this is particularly relevant for survival analysis, where the adoption of iml techniques promotes transparency, accountability and fairness in sensitive areas, such as clinical decision making processes, the development of targeted therapies, interventions or in other medical or healthcare related contexts. more specifically, explainability can uncover a survival model's potential biases and limitations and provide more mathematically sound ways to understand how and which features are influential for prediction or constitute risk factors. however, the lack of readily available iml methods may have deterred medical practitioners and policy makers in public health from leveraging the full potential of machine learning for predicting time-to-event data. we present a comprehensive review of the limited existing amount of work on iml methods for survival analysis within the context of the general iml taxonomy. in addition, we formally detail how commonly used iml methods, such as such as individual conditional expectation (ice), partial dependence plots (pdp), accumulated local effects (ale), different feature importance measures or friedman's h-interaction statistics can be adapted to survival outcomes. an application of several iml methods to real data on data on under-5 year mortality of ghanaian children from the demographic and health surveys (dhs) program serves as a tutorial or guide for researchers, on how to utilize the techniques in practice to facilitate understanding of model decisions or predictions.",2024-03-15
"proper splittings of hilbert space operators","guillermina fongi, maría celeste gonzalez","functional analysis","proper splittings of operators are commonly used to study the convergence of iterative processes. in order to approximate solutions of operator equations, in this article we deal with proper splittings of closed range bounded linear operators defined on hilbert spaces. we study the convergence of general proper splittings of operators in the infinite dimensional context. we also propose some particular splittings for special classes of operators and we study different criteria of convergence and comparison for them. in some cases, these criteria are given under hypothesis of operator order relations. in addition, we relate these results with the concept of the symmetric approximation of a frame in a hilbert space.",2024-03-15
"convergence rates for tikhonov regularization of coefficient identification problems in robin-boundary equation","huimin huang, wensheng zhang","analysis of pdes","this paper investigates the convergence rate for tikhonov regularization of the problem of identifying the coefficient $a \in l^{\infty}(\omega)$ in the robin-boundary equation $-\mathrm{div}(a\nabla u)-bu=f,~ x \in \omega \subset \mathbb r^m,~ m \geq 1$ and $u=0,~ x ~on~ \partial\omega$, where $f(x)\in l^{\infty}(\omega)$. assume we only know the imprecise values of $u$ in the subset $\omega_1 \subset \omega$ given by $z^{\delta} \in {h}^1(\omega_1)$, satisfies $\|u-z^{\delta}\|_{h^1(\omega_1)}\leq \delta$. we assume $u$ satisfy the following boundary conditions on $\partial\omega_1$: \begin{align*} \nabla u \cdot \vec{n}+\gamma u =0~on~\partial\omega_1, \end{align*} where $\vec{n}$ is the normal vector of $\partial\omega_1$ and $\gamma>0$ is a constant. we regularize this problem by correspondingly minimizing the strictly convex functional: \begin{align*} \min \limits_{a \in \mathbb a} &\frac12 \int_{\omega_1} a | {\nabla(u(a)-z^\delta)}|^2 +\frac12\int_{\partial\omega_1} a\gamma [u(a)-z^\delta]^2-\frac12 \int_{\omega_1} b [u(a)-z^\delta]^2\\ &+ \rho \| a-a^* \|^2_{l^2(\omega)}, \end{align*} where $u(a)$ is a map for $a$ to the solution of the robin-boundary problem, $\rho > 0$ is the regularization parameter and $a^*$ is a priori estimate of $a$. we prove that the functional attain a unique global minimizer on the admissible set. further, we give very simple source condition without the smallness requirement on the source function which provide the convergence rate $o(\sqrt{\delta})$ for the regularized solution.",2024-03-15
"l-functional analysis","eder kikianty, miek messerschmidt, luan naude, mark roelands, christopher schwanke, walt van amstel, jan harm van der walt, marten wortel","functional analysis","inspired by the theories of kaplansky-hilbert modules and probability theory in vector lattices, we generalise functional analysis by replacing the scalars $\mathbb{r}$ or $\mathbb{c}$ by a real or complex dedekind complete unital $f$-algebra $\mathbb{l}$; such an algebra can be represented as a suitable space of continuous functions. we set up the basic theory of $\mathbb{l}$-normed and $\mathbb{l}$-banach spaces and bounded operators between them, we discuss the $\mathbb{l}$-valued analogues of the classical $\ell^p$-spaces, and we prove the analogue of the hahn-banach theorem. we also discuss the basics of the theory of $\mathbb{l}$-hilbert spaces, including projections onto convex subsets and the riesz representation theorem.",2024-03-15
"note on the second derivative of bounded analytic functions","gangqiang chen","complex variables","assume $z_0$ lies in the open unit disk $\mathbb{d}$ and $g$ is an analytic self-map of $\mathbb{d}$. we will determine the region of values of $g''(z_0)$ in terms of $z_0$, $g(z_0)$ and the hyperbolic derivative of $g$ at $z_0$, and give the form of all the extremal functions. in particular, we obtain a smaller sharp upper bound for $|g''(z_0)|$ than ruscheweyh's inequality for the case of the second derivative. moreover, we use a different method to obtain sz{á}sz's inequality, which provides a sharp upper bound for $|g''(z_0)|$ depending only on $|z_0|$.",2024-03-15
"comparison of proximal first-order primal and primal-dual algorithms via performance estimation","nizar bousselmi, nelly pustelnik, julien m. hendrickx, françois glineur","optimization and control","selecting the fastest algorithm for a specific signal/image processing task is a challenging question. we propose an approach based on the performance estimation problem framework that numerically and automatically computes the worst-case performance of a given optimization method on a class of functions. we first propose a computer-assisted analysis and comparison of several first-order primal optimization methods, namely, the gradient method, the forward-backward, peaceman-rachford, and douglas-rachford splittings. we tighten the existing convergence results of these algorithms and extend them to new classes of functions. our analysis is then extended and evaluated in the context of the primal-dual chambolle-pock and condat-vũ methods.",2024-03-15
"the euclidean mst-ratio for bi-colored lattices","sebastiano cultrera di montesano, ondřej draganov, herbert edelsbrunner, morteza saghafian","computational geometry","given a finite set, $a \subseteq \mathbb{r}^2$, and a subset, $b \subseteq a$, the \emph{mst-ratio} is the combined length of the minimum spanning trees of $b$ and $a \setminus b$ divided by the length of the minimum spanning tree of $a$. the question of the supremum, over all sets $a$, of the maximum, over all subsets $b$, is related to the steiner ratio, and we prove this sup-max is between $2.154$ and $2.427$. restricting ourselves to $2$-dimensional lattices, we prove that the sup-max is $2.0$, while the inf-max is $1.25$. by some margin the most difficult of these results is the upper bound for the inf-max, which we prove by showing that the hexagonal lattice cannot have mst-ratio larger than $1.25$.",2024-03-15
"effective polygonal mesh generation and refinement for vem","stefano berrone, fabio vicini","numerical analysis","in the present work we introduce a novel refinement algorithm for two-dimensional elliptic partial differential equations discretized with virtual element method (vem). the algorithm improves the numerical solution accuracy and the mesh quality through a controlled refinement strategy applied to the generic polygonal elements of the domain tessellation. the numerical results show that the outlined strategy proves to be versatile and applicable to any two-dimensional problem where polygonal meshes offer advantages. in particular, we focus on the simulation of flow in fractured media, specifically using the discrete fracture network (dfn) model. a residual a-posteriori error estimator tailored for the dfn case is employed. we chose this particular application to emphasize the effectiveness of the algorithm in handling complex geometries. all the numerical tests demonstrate optimal convergence rates for all the tested vem orders.",2024-03-15
"on the functoriality of refined unramified cohomology","kees kok, lin zhou","algebraic geometry","in this paper, we generalise the construction of the functorial pullback of refined unramified cohomology between smooth schemes, by following the ideas of fulton's intersection theory and rost's cycle modules. we also define standard actions of algebraic cycles on the refined unramified cohomology groups of smooth proper schemes avoiding chow's moving lemma, which coincide with schreieder's constructions for smooth projective schemes. as applications, we prove the projective bundle and blow-up formulas for refined unramified cohomology groups and we reduce the rost nilpotence principle in characteristic zero to a statement concerning certain refined unramified cohomology groups. moreover, we compute the refined unramified cohomology for smooth proper linear varieties and show that rost's nilpotence principle holds for these varieties in characteristic zero.",2024-03-15
"euclidean rectifiability of sub-finsler spheres in free-carnot groups of step 2","enrico le donne, luca nalon","metric geometry","we consider 2-step free-carnot groups equipped with sub-finsler distances. we prove that the metric spheres are codimension-one rectifiable from the euclidean viewpoint. the result is obtained by studying how the lipschitz constant for the distance function behaves near abnormal geodesics.",2024-03-15
"even-odd partition identities of göellnitz-gordon type","pooneh afsharijoo","combinatorics","in this paper, we prove a theorem which adds a new member to the famous göellnitz-gordon identities. we construct a ""new system of recurrence formulas"" in order to prove it.",2024-03-15
"an efficient asymptotic dc method for sparse and low-rank matrix recovery","mingcai ding, xiaoliang song, bo yu","optimization and control","the optimization problem of sparse and low-rank matrix recovery is considered, which involves a least squares problem with a rank constraint and a cardinality constraint. to overcome the challenges posed by these constraints, an asymptotic difference-of-convex (adc) method that employs a moreau smoothing approach and an exact penalty approach is proposed to transform this problem into a dc programming format gradually. to solve the gained dc programming, by making full use of its dc structure, an efficient inexact dc algorithm with sieving strategy (sidca) is introduced. the subproblem of sidca is solved by an efficient dual-based semismooth newton method. the convergence of the solution sequence generated by sidca is proved. to illustrate the effectiveness of adc-sidca, matrix recovery experiments on nonnegative and positive semidefinite matrices. the numerical results are compared with those obtained using a successive dc approximation minimization method and a penalty proximal alternating linearized minimization approach. the outcome of the comparison indicates that adc-sidca surpasses the other two methods in terms of efficiency and recovery error. additionally, numerical experiments on sparse phase retrieval demonstrate that adc-sidca is a valuable tool for recovering sparse and low-rank hermitian matrices.",2024-03-15
"extremal spectral results of planar graphs without $c_{l, l}$ or $\mathrm{theta}$ graph","haoran zhang, wenhuan wang","combinatorics","let $\mathcal {f}$ be a given family of graphs. a graph $g$ is $\mathcal {f}$-free if it does not contain any member of $\mathcal {f}$ as a subgraph. let $c_{l, l}$ be a graph obtained from $2c_l$ such that the two cycles share a common vertex, where $l\geqslant3 $. a $\mathrm{theta}$ graph is obtained from a cycle $c_k$ by adding an additional edge between two non-consecutive vertices on $c_k$, where $k\geqslant 4$. let $\theta_k$ be set of $\mathrm{theta}$ graphs, where $k \geqslant 4$. for sufficiently large $n $, the unique extremal planar graph with the maximum spectral radius among $c_{l, l}$-free planar graphs on $n$ vertices and among $\theta_k$-free planar graphs on $n$ vertices are characterized respectively, where $l \geqslant 3$ and $k \geqslant 4$.",2024-03-15
"generalized zero-divisor graph of $*$-rings","anita lande, anil khairnar","combinatorics","let $r$ be a ring with involution $*$ and $z^*(r)$ denotes the set of all non-zero zero-divisors of $r$. we associate a simple (undirected) graph $\gamma'(r)$ with vertex set $z^*(r)$ and two distinct vertices $x$ and $y$ are adjacent in $\gamma'(r)$ if and only if $x^ny^*=0$ or $y^nx^*=0$, for some positive integer $n$. we find the diameter and girth of $\gamma'(r)$. the characterizations are obtained for $*$-rings having $\gamma'(r)$ a connected graph, a complete graph, and a star graph. further, we have shown that for a ring $r$, there is an involution on $r\times r$ such that $\gamma'(r\times r)$ is disconnected if and only if $r$ is an integral domain.",2024-03-15
"complete integrability of subriemannian geodesic flows on $\mathbb{s}^7$","wolfram bauer, abdellah laaroussi, daisuke tarama","differential geometry","four subriemannian (sr) structures over the euclidean sphere $\mathbb{s}^7$ are considered in accordance to the previous literature. the defining bracket generating distribution is chosen as the horizontal space in the hopf fibration, the quaternionic hopf fibration or spanned by a suitable number of canonical vector fields. in all cases the induced sr geodesic flow on $t^*\mathbb{s}^7$ is studied. adapting a method by a. thimm, a maximal set of functionally independent and poisson commuting first integrals are constructed, including the corresponding sr hamiltonian. as a result, the complete integrability in the sense of liouville is proved for the sr geodesic flow. it is observed that these first integrals arise as the symbols of commuting second order differential operators one of them being a (not necessarily intrinsic) sublaplacian. on the way one explicitly derives the lie algebras of all sr isometry groups intersected with $o(8)$.",2024-03-15
"gap results for biharmonic submanifolds in spheres","stefan andronic, simona nistor","differential geometry","in this paper we determine a larger gap of the mean curvature for a class of proper biharmonic submanifolds with parallel mean curvature vector field in euclidean spheres. when the bounds of the gap are reached, we obtain splitting results of the submanifold.",2024-03-15
"sun-jupiter-saturn system may exist: a verified computation of quasiperiodic solutions for the planar three body problem","jordi-lluís figueras, alex haro","dynamical systems","in this paper, we present evidence of the stability of a simplified model of the solar system, a flat (newtonian) sun-jupiter-saturn system with realistic data: masses of the sun and the planets, their semi-axes, eccentricities and (apsidal) precessions of the planets close to the real ones. the evidence is based on convincing numerics that a kam theorem can be applied to the hamiltonian equations of the model to produce quasiperiodic motion (on an invariant torus) with the appropriate frequencies. to do so, we first use kam numerical schemes to compute translated tori to continue from the kepler approximation (two uncoupled two-body problems) up to the actual hamiltonian of the system, for which the translated torus is an invariant torus. second, we use kam numerical schemes for invariant tori to refine the solution giving the desired torus. lastly, the convergence of the kam scheme for the invariant torus is (numerically) checked by applying several times a kam iterative lemma, from which we obtain that the final torus (numerically) satisfies the existence conditions given by a kam theorem.",2024-03-15
"self-aligning polar active matter","paul baconnier, olivier dauchot, vincent démery, gustavo düring, silke henkes, cristián huepe, amir shee","soft condensed matter","self-alignment describes the property of a polar active unit to align or anti-align its orientation towards its velocity. in contrast to mutual alignment, where the headings of multiple active units tend to directly align to each other -- as in the celebrated vicsek model --, self-alignment impacts the dynamics at the individual level by coupling the rotation and displacements of each active unit. this enriches the dynamics even without interactions or external forces, and allows, for example, a single self-propelled particle to orbit in a harmonic potential. at the collective level, self-alignment modifies the nature of the transition to collective motion already in the mean field description, and it can also lead to other forms of self-organization such as collective actuation in dense or solid elastic assemblies of active units. this has significant implications for the study of dense biological systems, metamaterials, and swarm robotics. here, we review a number of models that were introduced independently to describe the previously overlooked property of self-alignment and identify some of its experimental realizations. our aim is three-fold: (i)~underline the importance of self-alignment in active systems, especially in the context of dense populations of active units and active solids; (ii)~provide a unified mathematical and conceptual framework for the description of self-aligning systems; (iii)~discuss the common features and specific differences of the existing models of self-alignment. we conclude by discussing promising research avenues in which the concept of self-alignment could play a significant role.",2024-03-15
"on a globally convergent semismooth* newton method in nonsmooth nonconvex optimzation","h. gfrerer","optimization and control","in this paper we present gssn, a globalized scd semismooth* newton method for solving nonsmooth nonconvex optimization problems. the global convergence properties of the method are ensured by the proximal gradient method, whereas locally superlinear convergence is established via the scd semismooth* newton method under quite weak assumptions. the newton direction is based on the sc (subspace containing) derivative of the subdifferential mapping and can be computed by the (approximate) solution of an equality-constrained quadratic program. special attention is given to the efficient numerical implementation of the overall method.",2024-03-15
"modeling multiday extreme precipitation across eastern australia: a dynamical perspective","ruethaichanok kardkasem, meagan carney","dynamical systems","the purpose of this paper is to illustrate new techniques for computing multiday extreme precipitation taken from recent theoretical advancements in extreme value theory in the framework of dynamical systems, using historical precipitation data along the eastern coast of australia as a case study. we explore the numerical pitfalls of applying standard extreme value techniques to model multiday extremes. then, we illustrate that our data conforms to the appropriate setting for the application of recently derived extreme value distributions for runs of extremes in the dynamical framework and adapt these to the non-stationary setting. finally, we use these distributions to make more informed predictions on the return times and magnitudes of consecutive daily extreme precipitation and find changes in the dependence of increasing consecutive daily rainfall extremes on the southern oscillation index. although our case study is focused on extreme precipitation across eastern australia, we emphasize that these techniques can be used to model expected returns and magnitudes of consecutive extreme precipitation events across many locations.",2024-03-15
"$\partial\bar{\partial}$-lemma and $p$-kähler structures on families of solvmanifolds","andrea cattaneo, adriano tomassini","differential geometry","we provide families of compact $(n + 1)$-dimensional complex non kähler manifolds satisfying the $\partial\bar{\partial}$-lemma, with holomoprhically trivial canonical bundle, carrying a balanced metric and with no $p$-kähler structures. such a construction extends to the completely solvable case in any dimension nakamura's construction of low-dimensional holomorphically parallelizable solvmanifolds.",2024-03-15
"invariant submanifolds for solutions to rough differential equations","stefan tappe","probability","in this paper we provide necessary and sufficient conditions for invariance of finite dimensional submanifolds for rough differential equations (rdes) with values in a banach space. furthermore, we apply our findings to the particular situation of random rdes driven by $q$-wiener processes and random rdes driven by $q$-fractional brownian motion.",2024-03-15
"fast generation of feasible trajectories in direct optimal control","david kiessling, katrin baumgärtner, wilm decré, jan swevers, moritz diehl","optimization and control","this paper examines the question of finding feasible points to discrete-time optimal control problems. the optimization problem of finding a feasible trajectory is transcribed to an unconstrained optimal control problem. an efficient algorithm, called fp-ddp, is proposed that solves the resulting problem using differential dynamic programming preserving feasibility with respect to the system dynamics in every iteration. notably, fp-ddp admits global and rapid local convergence properties induced by a combination of a levenberg-marquardt method and an armijo-type line search. the efficiency of fp-ddp is demonstrated against established methods such as direct multiple shooting, direct single shooting, and state-of-the-art solvers.",2024-03-15
"long-time behavior for discretization schemes of fokker-planck equations via couplings","ansgar jüngel, katharina schuh","probability","continuous-time markov chains associated to finite-volume discretization schemes of fokker-planck equations are constructed. sufficient conditions under which quantitative exponential decay in the $\phi$-entropy and wasserstein distance are established, implying modified logarithmic sobolev, poincaré, and discrete beckner inequalities. the results are not restricted to additive potentials and do not make use of discrete bochner-type identities. the proof for the $\phi$-decay relies on a coupling technique due to conforti, while the proof for the wasserstein distance uses the path coupling method. furthermore, exponential equilibration for discrete-time markov chains is proved, based on an abstract discrete bakry-emery method and a path coupling.",2024-03-15
"analysis of a two phase flow model of biofilm spread","ana carpio, gema duro","analysis of pdes","free boundaries of biofilms advancing on surfaces evolve according to conservation laws coupled with systems of partial differential equations for velocities, pressures and chemicals affecting cell behavior. thin film approximations lead to complicated quasi-stationary systems coupling stationary transport equations and compressible stokes systems with convection-reaction-diffusion equations.we establish existence, uniqueness and stability of solutions of the different submodels involved and then obtain well posedness results for the full system. our analysis relies on the construction of weak solutions for the steady transport equations under sign assumptions and the reformulation of the compressible stokes problem as an elliptic system with enhanced regularity properties on the pressure. we need to consider velocity fields whose divergence and normal boundary components satisfy sign conditions, instead of vanishing as classical results require. applications include the study of cells, biofilms and tissues, where one phase is a liquid solution, whereas the other one is assorted biomass.",2024-03-15
"second-order strong optimality and second-order duality for nonsmooth constrained multiobjective fractional programming problems","jiawei chen, luyu liu, yibing lv, debdas ghosh, jen-chih yao","optimization and control","this paper investigates constrained nonsmooth multiobjective fractional programming problem (nmfp) in real banach spaces. it derives a quotient calculus rule for computing the first- and second-order clarke derivatives of fractional functions involving locally lipschitz functions. a novel second-order abadie-type regularity condition is presented, defined with the help of the clarke directional derivative and the páles-zeidan second-order directional derivative. we establish both first- and second-order strong necessary optimality conditions, which contain some new information on multipliers and imply the strong kkt necessary conditions, for a borwein-type properly efficient solution of nmfp by utilizing generalized directional derivatives. moreover, it derives second-order sufficient optimality conditions for nmfp under a second-order generalized convexity assumption. additionally, we derive duality results between nmfp and its second-order dual problem under some appropriate conditions.",2024-03-15
