"","title","author","subject","abstract","meta"
"35","Resolving Full-Wave Through-Wall Transmission Effects in Multi-Static Synthetic Aperture Radar","Francis Watson, Daniel Andre, William Robert Breckon Lionheart","Numerical Analysis (math.NA)","Through-wall synthetic aperture radar (SAR) imaging is of significant interest for security purposes, in particular when using multi-static SAR systems consisting of multiple distributed radar transmitters and receivers to improve resolution and the ability to recognise objects. Yet there is a significant challenge in forming focused, useful images due to multiple scattering effects through walls, whereas standard SAR imaging has an inherent single scattering assumption. This may be exacerbated with multi-static collections, since different scattering events will be observed from each angle and the data may not coherently combine well in a naive manner. To overcome this, we propose an image formation method which resolves full-wave effects through an approximately known wall or other arbitrary obstacle, which itself has some unknown ""nuisance"" parameters that are determined as part of the reconstruction to provide well focused images. The method is more flexible and realistic than existing methods which treat a single wall as a flat layered medium, whilst being significantly computationally cheaper than full-wave methods, strongly motivated by practical considerations for through-wall SAR.","Fri, 15 Mar 2024 14:41:00 UTC (656 KB)"
"36","Goodness-of-Fit for Conditional Distributions: An Approach Using Principal Component Analysis and Component Selection","Cui Rui, Li Yuhao","Econometrics (econ.EM)","This paper introduces a novel goodness-of-fit test technique for parametric conditional distributions. The proposed tests are based on a residual marked empirical process, for which we develop a conditional Principal Component Analysis. The obtained components provide a basis for various types of new tests in addition to the omnibus one. Component tests that based on each component serve as experts in detecting certain directions. Smooth tests that assemble a few components are also of great use in practice. To further improve testing efficiency, we introduce a component selection approach, aiming to identify the most contributory components. The finite sample performance of the proposed tests is illustrated through Monte Carlo experiments.","Fri, 15 Mar 2024 14:37:46 UTC (59 KB)"
"37","On the product of periodic distributions. Product in shift-invariant spaces","Aleksandar Aksentijević, Suzana Aleksić, Stevan Pilipović","Functional Analysis (math.FA)","We connect through the Fourier transform shift-invariant Sobolev type spaces $V_s\subset H^s$, $s\in\mathbb R,$ and the spaces of periodic distributions and analyze the properties of elements in such spaces with respect to the product. If the series expansions of two periodic distributions have compatible coefficient estimates, then their product is a periodic tempered distribution. We connect product of tempered distributions with the product of shift-invariant elements of $V_s$. The idea for the analysis of products comes from the Hörmander's description of the Sobolev type wave front in connection with the product of distributions. Coefficient compatibility for the product of $f$ and $g$ in the case of ""good"" position of their Sobolev type wave fronts is proved in the 2-dimensional case. For larger dimension it is an open problem because of the difficulties on the description of the intersection of cones in dimension $d\geqslant3$.","Fri, 15 Mar 2024 14:36:21 UTC (15 KB)"
"38","Bi-Lagrangian structures and the space of rays","Wojciech Domitrz, Marcin Zubilewicz","Differential Geometry (math.DG)","This paper focuses on local curvature invariants associated with bi-Lagrangian structures. We establish several geometric conditions that determine when the canonical connection is flat, building on our previous findings regarding divergence-free webs. Addressing questions raised by Tabachnikov, we provide complete solutions to two problems: the existence of flat bi-Lagrangian structures within the space of rays induced by a pair of hypersurfaces, and the existence of flat bi-Lagrangian structures induced by tangents to Lagrangian curves in the symplectic plane.","Fri, 15 Mar 2024 14:31:21 UTC (51 KB)"
"39","Multi-Source Localization and Data Association for Time-Difference of Arrival Measurements","Gabrielle Flood, Filip Elvander","Signal Processing (eess.SP)","In this work, we consider the problem of localizing multiple signal sources based on time-difference of arrival (TDOA) measurements. In the blind setting, in which the source signals are not known, the localization task is challenging due to the data association problem. That is, it is not known which of the TDOA measurements correspond to the same source. Herein, we propose to perform joint localization and data association by means of an optimal transport formulation. The method operates by finding optimal groupings of TDOA measurements and associating these with candidate source locations. To allow for computationally feasible localization in three-dimensional space, an efficient set of candidate locations is constructed using a minimal multilateration solver based on minimal sets of receiver pairs. In numerical simulations, we demonstrate that the proposed method is robust both to measurement noise and TDOA detection errors. Furthermore, it is shown that the data association provided by the proposed method allows for statistically efficient estimates of the source locations.","Fri, 15 Mar 2024 14:16:46 UTC (333 KB)"
"40","Data-driven cold starting of good reservoirs","Lyudmila Grigoryeva, Boumediene Hamzi, Felix P. Kemeth, Yannis Kevrekidis, G Manjunath, Juan-Pablo Ortega, Matthys J. Steynberg","Dynamical Systems (math.DS)","Using short histories of observations from a dynamical system, a workflow for the post-training initialization of reservoir computing systems is described. This strategy is called cold-starting, and it is based on a map called the starting map, which is determined by an appropriately short history of observations that maps to a unique initial condition in the reservoir space. The time series generated by the reservoir system using that initial state can be used to run the system in autonomous mode, to produce accurate forecasts of the time series under consideration immediately. By utilizing this map, the lengthy ""washouts"" that are necessary to initialize reservoir systems can be eliminated, enabling the generation of forecasts using any selection of appropriately short histories of the observations.","Fri, 15 Mar 2024 14:13:49 UTC (1,409 KB)"
"41","Multifractal scaling and the Euler equations on R^3/Z^3","Henrik Ueberschaer","Analysis of PDEs (math.AP)","We study the Euler equations describing the motion of an incompressible fluid on the cubic torus with real initial data. We construct solutions on the Fourier side which display a sudden loss of regularity within finite time even for highly regular initial data. Moreover, the solution may regain its initial regularity within finite time. This loss of regularity may coincide with the appearance of a certain type of multifractal scaling of the solutions.","Fri, 15 Mar 2024 14:13:45 UTC (11 KB)"
"42","Hunter's positivity theorem and random vector norms","Ludovick Bouthat, Ángel Chávez, Stephan Ramon Garcia","Functional Analysis (math.FA)","A theorem of Hunter ensures that the complete homogeneous symmetric polynomials of even degree are positive definite functions. A probabilistic interpretation of Hunter's theorem suggests a broad generalization: the construction of so-called random vector norms on square complex matrices. This paper surveys these ideas, starting from the fundamental notions and developing the theory to its present state. We study numerous examples and present a host of open problems.","Fri, 15 Mar 2024 13:59:55 UTC (489 KB)"
"43","A canonical tree decomposition for order types, and some applications","Mathilde Bouvel, Valentin Féray, Xavier Goaoc, Florent Koechlin","Computational Geometry (cs.CG)","We introduce and study a notion of decomposition of planar point sets (or rather of their chirotopes) as trees decorated by smaller chirotopes. This decomposition is based on the concept of mutually avoiding sets (which we rephrase as \emph{modules}), and adapts in some sense the modular decomposition of graphs in the world of chirotopes. The associated tree always exists and is unique up to some appropriate constraints. We also show how to compute the number of triangulations of a chirotope efficiently, starting from its tree and the (weighted) numbers of triangulations of its parts.","Fri, 15 Mar 2024 13:56:14 UTC (604 KB)"
"44","Supplement Matrix and a Practical Method for Computing Eigenvalues of a Dual Hermitian Matrix","Liqun Qi, Chunfeng Cui","Numerical Analysis (math.NA)","We study dual number symmetric matrices, dual complex Hermitian matrices and dual quaternion Hermitian matrices in a unified frame of dual Hermitian matrices. Suppose we have a ring, which can be the real field, the complex field, or the quaternion ring. Then an $n \times n$ dual Hermitian matrix has $n$ dual number eigenvalues. We define supplement matrices for a dual Hermitian matrix. Supplement matrices are Hermitian matrices in the original ring. The standard parts of the eigenvalues of that dual Hermitian matrix are the eigenvalues of the standard part Hermitian matrix in the original ring, while the dual parts of the eigenvalues of that dual Hermitian matrix are the eigenvalues of those {supplement} matrices. Hence, by apply any practical method for computing eigenvalues of Hermitian matrices in the original ring, we have a practical method for computing eigenvalues of a dual Hermitian matrix. We call this method the supplement matrix method. Applications to low rank approximation and generalized inverses of dual matrices, dual least squares problem and formation control are discussed. Numerical experiments are reported.","Fri, 15 Mar 2024 13:48:30 UTC (29 KB)"
"45","A General Non-Strict Finsler's Lemma","T.J. Meijer, K.J.A. Scheres, S. van den Eijnden, T. Holicki, C.W. Scherer, W.P.M.H. Heemels","Optimization and Control (math.OC)","In this paper, we present a general non-strict Finsler's lemma. This result is general in the sense that it does not impose any restrictions on the involved matrices and, thereby, is more broadly applicable than existing non-strict versions of Finsler's lemma that do impose such restrictions. In fact, we show that this new non-strict formulation generalizes both the original strict Finsler's lemma as well as an existing non-strict version. To further illustrate its usefulness, we showcase applications of the non-strict Finsler's lemma in deriving a closed-form solution to the non-strict projection lemma, and a matrix Finsler's lemma, which is useful for data-driven control.","Fri, 15 Mar 2024 13:47:15 UTC (88 KB)"
"46","The reliability of the gender Implicit Association Test (gIAT) for high-ability careers","S. Stanley Young, Warren B. Kindzierski","Applications (stat.AP)","Males outnumber females in many high ability careers, for example, in the fields of science, technology, engineering, and mathematics and professors in academic medicine. These differences are often attributed to implicit, subconscious, bias. One objective of this study was to use statistical p value plots to independently test the ability to support the claim of implicit bias made in a meta analysis of gender bias studies. The meta analysis examined correlations between implicit bias measures based on the gender Implicit Association Test, g IAT, and measures of intergroup, female and male, behavior. A second objective was to investigate general intelligence g and vocational, things people, interests as explanatory factors for gender differences in high ability careers. The p value plots constructed using data sets from the meta analysis did not support real associations between the tested variables. These findings reinforce the lack of correlation between g IAT, implicit bias, measures and real world gender behaviors in high ability careers. More demanding careers, attorneys, engineers, scientists, corporate executives, are recruited from people with higher g. One is dealing with gender groups and the group of high g females is smaller than high g males. Regarding vocational interests, females prefer working with people and males prefer working with things. STEM fields are typically things oriented. One is dealing with gender groups and the group of females who prefer working with things is smaller than the group of males. These facts make it predictable that there are more males in high complexity, things careers, STEM, academic medicine positions, than females. Implicit bias gIAT measures have little or no explanatory power for gender differences in high ability careers relative to g and interests in working with things.","Fri, 15 Mar 2024 13:42:10 UTC (433 KB)"
"47","Boundary parameter matching for isogeometric analysis using Schwarz-Christoffel mapping","Ye Ji, Matthias Möller, Yingying Yu, Chungang Zhu","Numerical Analysis (math.NA)","Isogeometric analysis has brought a paradigm shift in integrating computational simulations with geometric designs across engineering disciplines. This technique necessitates analysis-suitable parameterization of physical domains to fully harness the synergy between Computer-Aided Design and Computer-Aided Engineering analyses. The existing methods often fix boundary parameters, leading to challenges in elongated geometries such as fluid channels and tubular reactors. This paper presents an innovative solution for the boundary parameter matching problem, specifically designed for analysis-suitable parameterizations. We employ a sophisticated Schwarz-Christoffel mapping technique, which is instrumental in computing boundary correspondences. A refined boundary curve reparameterization process complements this. Our dual-strategy approach maintains the geometric exactness and continuity of input physical domains, overcoming limitations often encountered with the existing reparameterization techniques. By employing our proposed boundary parameter method, we show that even a simple linear interpolation approach can effectively construct a satisfactory analysis-suitable parameterization. Our methodology offers significant improvements over traditional practices, enabling the generation of analysis-suitable and geometrically precise models, which is crucial for ensuring accurate simulation results. Numerical experiments show the capacity of the proposed method to enhance the quality and reliability of isogeometric analysis workflows.","Fri, 15 Mar 2024 13:27:03 UTC (12,888 KB)"
"48","Optimal Control of Stationary Doubly Diffusive Flows on Two and Three Dimensional Bounded Lipschitz Domains: Numerical Analysis","Jai Tushar, Arbaz Khan, Manil T. Mohan","Numerical Analysis (math.NA)","In this work, we propose fully nonconforming, locally exactly divergence-free discretizations based on lowest order Crouziex-Raviart finite element and piecewise constant spaces to study the optimal control of stationary double diffusion model presented in [Bürger, Méndez, Ruiz-Baier, SINUM (2019), 57:1318-1343]. The well-posedness of the discrete uncontrolled state and adjoint equations are discussed using discrete lifting and fixed point arguments, and convergence results are derived rigorously under minimal regularity. Building upon our recent work [Tushar, Khan, Mohan arXiv (2023)], we prove the local optimality of a reference control using second-order sufficient optimality condition for the control problem, and use it along with an optimize-then-discretize approach to prove optimal order a priori error estimates for the control, state and adjoint variables upto the regularity of the solution. The optimal control is computed using a primal-dual active set strategy as a semi-smooth Newton method and computational tests validate the predicted error decay rates and illustrate the proposed scheme's applicability to optimal control of thermohaline circulation problems.","Fri, 15 Mar 2024 13:26:36 UTC (2,099 KB)"
"49","Almost sure OTM-realizability","Merlin Carl","Logic (math.LO)","Combining the approaches made in works with Galeotti and Passmann, we define and study a notion of ""almost sure"" realizability with parameter-free ordinal Turing machines (OTMs). In particular, we show that, in contrast to the classical case, almost sure realizability differs from plain realizability, while closure under intuitionistic predicate logic and realizability of Kripke-Platek set theory continue to hold.","Fri, 15 Mar 2024 13:22:34 UTC (18 KB)"
"50","Topological Noetherianity of the infinite half-spin representations","Christopher Chiu, Jan Draisma, Rob Eggermont, Tim Seynnaeve, Nafie Tairi","Algebraic Geometry (math.AG)","We prove that the infinite half-spin representations are topologically Noetherian with respect to the infinite spin group. As a consequence we obtain that half-spin varieties, which we introduce, are defined by the pullback of equations at a finite level. The main example for such varieties is the infinite isotropic Grassmannian in its spinor embedding, for which we explicitly determine its defining equations.","Fri, 15 Mar 2024 13:06:15 UTC (36 KB)"
"51","Discrete functional inequalities on lattice graphs","Shubham Gupta","Functional Analysis (math.FA)","In this thesis, we study problems at the interface of analysis and discrete mathematics. We discuss analogues of well known Hardy-type inequalities and Rearrangement inequalities on the lattice graphs $\mathbb{Z}^d$, with a particular focus on behaviour of sharp constants and this http URL the first half of the thesis, we analyse Hardy inequalities on $\mathbb{Z}^d$, first for $d=1$ and then for $d \geq 3$. We prove a sharp weighted Hardy inequality on integers with power weights of the form $n^\alpha$. This is done via two different methods, namely super-solution and Fourier method. We also use Fourier method to prove a weighted Hardy type inequality for higher order operators. After discussing the one dimensional case, we study the Hardy inequality in higher dimensions ($d \geq 3$). In particular, we compute the asymptotic behaviour of the sharp constant in the discrete Hardy inequality, as $d \rightarrow \infty$. This is done by converting the inequality into a continuous Hardy-type inequality on a torus for functions having zero average. These continuous inequalities are new and interesting in themselves. In the second half, we focus our attention on analogues of Rearrangement inequalities on lattice graphs. We begin by analysing the situation in dimension one. We define various notions of rearrangements and prove the corresponding Polya-Szegő inequality. These inequalities are also applied to prove some weighted Hardy inequalities on integers. Finally, we study Rearrangement inequalities (Polya-Szegő) on general graphs, with a particular focus on lattice graphs $\mathbb{Z}^d$, for $d \geq 2$. We develop a framework to study these inequalities, using which we derive concrete results in dimension two. In particular, these results develop connections between Polya-Szegő inequality and various isoperimetric inequalities on graphs.","Fri, 15 Mar 2024 12:58:34 UTC (104 KB)"
"52","Moduli spaces of quadratic differentials: Abel-Jacobi map and deformation","Yu Qiu","Geometric Topology (math.GT)","We study the moduli space of quadratic differentials with prescribed singularities parameterized by a decorated marked surface with punctures (DMSp), where simple zeros, double poles and higher order poles respectively correspond to decorations, punctures and boundary components. We show that the fundamental group of this space equals the kernel of the Abel-Jacobi map from the mapping class group of DMSp to the first homology group of the marked surface (without decorations/punctures). Moreover, a universal cover of this space is given by the space of stability conditions on the associated 3-Calabi-Yau category. Furthermore, when we partial compactify (and orbifold) the moduli space by allowing the collision of simple zeros and some of the double poles, the resulting moduli space is isomorphic to a quotient of the space of stability conditions on the deformed (with respect to those collidable double poles) 3-Calabi-Yau category.","Fri, 15 Mar 2024 12:52:27 UTC (1,173 KB)"
"53","Structural Preprocessing Method for Nonlinear Differential-Algebraic Equations Using Linear Symbolic Matrices","Taihei Oki, Yujin Song","Symbolic Computation (cs.SC)","Differential-algebraic equations (DAEs) have been used in modeling various dynamical systems in science and engineering. Several preprocessing methods for DAEs, such as consistent initialization and index reduction, use structural information on DAEs. Unfortunately, these methods may fail when the system Jacobian, which is a functional matrix, derived from the DAE is singular. To transform a DAE with a singular system Jacobian into a nonsingular system, several regularization methods have been proposed. Most of all existing regularization methods rely on symbolic computation to eliminate the system Jacobian for finding a certificate of singularity, resulting in much computational time. Iwata--Oki--Takamatsu (2019) proposed a method (IOT-method) to find a certificate without symbolic computations. The IOT method approximates the system Jacobian by a simpler symbolic matrix, called a layered mixed matrix, which admits a fast combinatorial algorithm for singularity testing. However, it often overlooks the singularity of the system Jacobian since the approximation largely discards algebraic relationships among entries in the original system Jacobian. In this study, we propose a new regularization method extending the idea of the IOT method. Instead of layered mixed matrices, our method approximates the system Jacobian by more expressive symbolic matrices, called rank-1 coefficient mixed (1CM) matrices. This makes our method more widely applicable. We give a fast combinatorial algorithm for finding a singularity certificate of 1CM-matrices, which is free from symbolic elimination. Our method is also advantageous in that it globally preserves the solution set to the DAE. Through numerical experiments, we confirmed that our method runs fast for large-scale DAEs from real instances.","Fri, 15 Mar 2024 12:48:41 UTC (259 KB)"
"54","Interpretable Machine Learning for Survival Analysis","Sophie Hanna Langbein, Mateusz Krzyziński, Mikołaj Spytek, Hubert Baniecki, Przemysław Biecek, Marvin N. Wright","Machine Learning (stat.ML)","With the spread and rapid advancement of black box machine learning models, the field of interpretable machine learning (IML) or explainable artificial intelligence (XAI) has become increasingly important over the last decade. This is particularly relevant for survival analysis, where the adoption of IML techniques promotes transparency, accountability and fairness in sensitive areas, such as clinical decision making processes, the development of targeted therapies, interventions or in other medical or healthcare related contexts. More specifically, explainability can uncover a survival model's potential biases and limitations and provide more mathematically sound ways to understand how and which features are influential for prediction or constitute risk factors. However, the lack of readily available IML methods may have deterred medical practitioners and policy makers in public health from leveraging the full potential of machine learning for predicting time-to-event data. We present a comprehensive review of the limited existing amount of work on IML methods for survival analysis within the context of the general IML taxonomy. In addition, we formally detail how commonly used IML methods, such as such as individual conditional expectation (ICE), partial dependence plots (PDP), accumulated local effects (ALE), different feature importance measures or Friedman's H-interaction statistics can be adapted to survival outcomes. An application of several IML methods to real data on data on under-5 year mortality of Ghanaian children from the Demographic and Health Surveys (DHS) Program serves as a tutorial or guide for researchers, on how to utilize the techniques in practice to facilitate understanding of model decisions or predictions.","Fri, 15 Mar 2024 12:38:00 UTC (1,272 KB)"
"55","Proper splittings of Hilbert space operators","Guillermina Fongi, María Celeste Gonzalez","Functional Analysis (math.FA)","Proper splittings of operators are commonly used to study the convergence of iterative processes. In order to approximate solutions of operator equations, in this article we deal with proper splittings of closed range bounded linear operators defined on Hilbert spaces. We study the convergence of general proper splittings of operators in the infinite dimensional context. We also propose some particular splittings for special classes of operators and we study different criteria of convergence and comparison for them. In some cases, these criteria are given under hypothesis of operator order relations. In addition, we relate these results with the concept of the symmetric approximation of a frame in a Hilbert space.","Fri, 15 Mar 2024 12:34:35 UTC (19 KB)"
"56","Convergence Rates For Tikhonov Regularization of Coefficient Identification Problems in Robin-Boundary Equation","Huimin Huang, Wensheng Zhang","Analysis of PDEs (math.AP)","This paper investigates the convergence rate for Tikhonov regularization of the problem of identifying the coefficient $a \in L^{\infty}(\Omega)$ in the Robin-boundary equation $-\mathrm{div}(a\nabla u)-bu=f,~ x \in \Omega \subset \mathbb R^M,~ M \geq 1$ and $u=0,~ x ~on~ \partial\Omega$, where $f(x)\in L^{\infty}(\Omega)$. Assume we only know the imprecise values of $u$ in the subset $\Omega_1 \subset \Omega$ given by $z^{\delta} \in {H}^1(\Omega_1)$, satisfies $\|u-z^{\delta}\|_{H^1(\Omega_1)}\leq \delta$. We assume $u$ satisfy the following boundary conditions on $\partial\Omega_1$: \begin{align*} \nabla u \cdot \vec{n}+\gamma u =0~on~\partial\Omega_1, \end{align*} where $\vec{n}$ is the normal vector of $\partial\Omega_1$ and $\gamma>0$ is a constant. We regularize this problem by correspondingly minimizing the strictly convex functional: \begin{align*} \min \limits_{a \in \mathbb A} &\frac12 \int_{\Omega_1} a | {\nabla(U(a)-z^\delta)}|^2 +\frac12\int_{\partial\Omega_1} a\gamma [U(a)-z^\delta]^2-\frac12 \int_{\Omega_1} b [U(a)-z^\delta]^2\\ &+ \rho \| a-a^* \|^2_{L^2(\Omega)}, \end{align*} where $U(a)$ is a map for $a$ to the solution of the Robin-boundary problem, $\rho > 0$ is the regularization parameter and $a^*$ is a priori estimate of $a$. We prove that the functional attain a unique global minimizer on the admissible set. Further, we give very simple source condition without the smallness requirement on the source function which provide the convergence rate $O(\sqrt{\delta})$ for the regularized solution.","Fri, 15 Mar 2024 11:59:46 UTC (15 KB)"
"57","L-functional analysis","Eder Kikianty, Miek Messerschmidt, Luan Naude, Mark Roelands, Christopher Schwanke, Walt van Amstel, Jan Harm van der Walt, Marten Wortel","Functional Analysis (math.FA)","Inspired by the theories of Kaplansky-Hilbert modules and probability theory in vector lattices, we generalise functional analysis by replacing the scalars $\mathbb{R}$ or $\mathbb{C}$ by a real or complex Dedekind complete unital $f$-algebra $\mathbb{L}$; such an algebra can be represented as a suitable space of continuous functions. We set up the basic theory of $\mathbb{L}$-normed and $\mathbb{L}$-Banach spaces and bounded operators between them, we discuss the $\mathbb{L}$-valued analogues of the classical $\ell^p$-spaces, and we prove the analogue of the Hahn-Banach theorem. We also discuss the basics of the theory of $\mathbb{L}$-Hilbert spaces, including projections onto convex subsets and the Riesz Representation theorem.","Fri, 15 Mar 2024 11:41:16 UTC (45 KB)"
"58","Note on the second derivative of bounded analytic functions","Gangqiang Chen","Complex Variables (math.CV)","Assume $z_0$ lies in the open unit disk $\mathbb{D}$ and $g$ is an analytic self-map of $\mathbb{D}$. We will determine the region of values of $g''(z_0)$ in terms of $z_0$, $g(z_0)$ and the hyperbolic derivative of $g$ at $z_0$, and give the form of all the extremal functions. In particular, we obtain a smaller sharp upper bound for $|g''(z_0)|$ than Ruscheweyh's inequality for the case of the second derivative. Moreover, we use a different method to obtain Sz{á}sz's inequality, which provides a sharp upper bound for $|g''(z_0)|$ depending only on $|z_0|$.","Fri, 15 Mar 2024 11:28:11 UTC (12 KB)"
"59","Comparison of Proximal First-Order Primal and Primal-Dual algorithms via Performance Estimation","Nizar Bousselmi, Nelly Pustelnik, Julien M. Hendrickx, François Glineur","Optimization and Control (math.OC)","Selecting the fastest algorithm for a specific signal/image processing task is a challenging question. We propose an approach based on the Performance Estimation Problem framework that numerically and automatically computes the worst-case performance of a given optimization method on a class of functions. We first propose a computer-assisted analysis and comparison of several first-order primal optimization methods, namely, the gradient method, the forward-backward, Peaceman-Rachford, and Douglas-Rachford splittings. We tighten the existing convergence results of these algorithms and extend them to new classes of functions. Our analysis is then extended and evaluated in the context of the primal-dual Chambolle-Pock and Condat-Vũ methods.","Fri, 15 Mar 2024 11:19:31 UTC (575 KB)"
"60","The Euclidean MST-ratio for Bi-colored Lattices","Sebastiano Cultrera di Montesano, Ondřej Draganov, Herbert Edelsbrunner, Morteza Saghafian","Computational Geometry (cs.CG)","Given a finite set, $A \subseteq \mathbb{R}^2$, and a subset, $B \subseteq A$, the \emph{MST-ratio} is the combined length of the minimum spanning trees of $B$ and $A \setminus B$ divided by the length of the minimum spanning tree of $A$. The question of the supremum, over all sets $A$, of the maximum, over all subsets $B$, is related to the Steiner ratio, and we prove this sup-max is between $2.154$ and $2.427$. Restricting ourselves to $2$-dimensional lattices, we prove that the sup-max is $2.0$, while the inf-max is $1.25$. By some margin the most difficult of these results is the upper bound for the inf-max, which we prove by showing that the hexagonal lattice cannot have MST-ratio larger than $1.25$.","Fri, 15 Mar 2024 11:10:50 UTC (338 KB)"
"61","Effective polygonal mesh generation and refinement for VEM","Stefano Berrone, Fabio Vicini","Numerical Analysis (math.NA)","In the present work we introduce a novel refinement algorithm for two-dimensional elliptic partial differential equations discretized with Virtual Element Method (VEM). The algorithm improves the numerical solution accuracy and the mesh quality through a controlled refinement strategy applied to the generic polygonal elements of the domain tessellation. The numerical results show that the outlined strategy proves to be versatile and applicable to any two-dimensional problem where polygonal meshes offer advantages. In particular, we focus on the simulation of flow in fractured media, specifically using the Discrete Fracture Network (DFN) model. A residual a-posteriori error estimator tailored for the DFN case is employed. We chose this particular application to emphasize the effectiveness of the algorithm in handling complex geometries. All the numerical tests demonstrate optimal convergence rates for all the tested VEM orders.","Fri, 15 Mar 2024 11:10:49 UTC (3,589 KB)"
"62","On the functoriality of refined unramified cohomology","Kees Kok, Lin Zhou","Algebraic Geometry (math.AG)","In this paper, we generalise the construction of the functorial pullback of refined unramified cohomology between smooth schemes, by following the ideas of Fulton's intersection theory and Rost's cycle modules. We also define standard actions of algebraic cycles on the refined unramified cohomology groups of smooth proper schemes avoiding Chow's moving lemma, which coincide with Schreieder's constructions for smooth projective schemes. As applications, we prove the projective bundle and blow-up formulas for refined unramified cohomology groups and we reduce the Rost nilpotence principle in characteristic zero to a statement concerning certain refined unramified cohomology groups. Moreover, we compute the refined unramified cohomology for smooth proper linear varieties and show that Rost's nilpotence principle holds for these varieties in characteristic zero.","Fri, 15 Mar 2024 11:01:33 UTC (35 KB)"
"63","Euclidean rectifiability of sub-Finsler spheres in free-Carnot groups of step 2","Enrico Le Donne, Luca Nalon","Metric Geometry (math.MG)","We consider 2-step free-Carnot groups equipped with sub-Finsler distances. We prove that the metric spheres are codimension-one rectifiable from the Euclidean viewpoint. The result is obtained by studying how the Lipschitz constant for the distance function behaves near abnormal geodesics.","Fri, 15 Mar 2024 10:59:11 UTC (24 KB)"
"64","Even-Odd partition identities of Göellnitz-Gordon type","Pooneh Afsharijoo","Combinatorics (math.CO)","In this paper, we prove a theorem which adds a new member to the famous Göellnitz-Gordon identities. We construct a ""new system of recurrence formulas"" in order to prove it.","Fri, 15 Mar 2024 10:51:26 UTC (6 KB)"
"65","An efficient asymptotic DC method for sparse and low-rank matrix recovery","Mingcai Ding, Xiaoliang Song, Bo Yu","Optimization and Control (math.OC)","The optimization problem of sparse and low-rank matrix recovery is considered, which involves a least squares problem with a rank constraint and a cardinality constraint. To overcome the challenges posed by these constraints, an asymptotic difference-of-convex (ADC) method that employs a Moreau smoothing approach and an exact penalty approach is proposed to transform this problem into a DC programming format gradually. To solve the gained DC programming, by making full use of its DC structure, an efficient inexact DC algorithm with sieving strategy (siDCA) is introduced. The subproblem of siDCA is solved by an efficient dual-based semismooth Newton method. The convergence of the solution sequence generated by siDCA is proved. To illustrate the effectiveness of ADC-siDCA, matrix recovery experiments on nonnegative and positive semidefinite matrices. The numerical results are compared with those obtained using a successive DC approximation minimization method and a penalty proximal alternating linearized minimization approach. The outcome of the comparison indicates that ADC-siDCA surpasses the other two methods in terms of efficiency and recovery error. Additionally, numerical experiments on sparse phase retrieval demonstrate that ADC-siDCA is a valuable tool for recovering sparse and low-rank Hermitian matrices.","Fri, 15 Mar 2024 10:36:31 UTC (3,732 KB)"
"66","Extremal spectral results of planar graphs without $C_{l, l}$ or $\mathrm{Theta}$ graph","HaoRan Zhang, WenHuan Wang","Combinatorics (math.CO)","Let $\mathcal {F}$ be a given family of graphs. A graph $G$ is $\mathcal {F}$-free if it does not contain any member of $\mathcal {F}$ as a subgraph. Let $C_{l, l}$ be a graph obtained from $2C_l$ such that the two cycles share a common vertex, where $l\geqslant3 $. A $\mathrm{Theta}$ graph is obtained from a cycle $C_k$ by adding an additional edge between two non-consecutive vertices on $C_k$, where $k\geqslant 4$. Let $\Theta_k$ be set of $\mathrm{Theta}$ graphs, where $k \geqslant 4$. For sufficiently large $n $, the unique extremal planar graph with the maximum spectral radius among $C_{l, l}$-free planar graphs on $n$ vertices and among $\Theta_k$-free planar graphs on $n$ vertices are characterized respectively, where $l \geqslant 3$ and $k \geqslant 4$.","Fri, 15 Mar 2024 10:16:00 UTC (152 KB)"
"67","Generalized zero-divisor graph of $*$-rings","Anita Lande, Anil Khairnar","Combinatorics (math.CO)","Let $R$ be a ring with involution $*$ and $Z^*(R)$ denotes the set of all non-zero zero-divisors of $R$. We associate a simple (undirected) graph $\Gamma'(R)$ with vertex set $Z^*(R)$ and two distinct vertices $x$ and $y$ are adjacent in $\Gamma'(R)$ if and only if $x^ny^*=0$ or $y^nx^*=0$, for some positive integer $n$. We find the diameter and girth of $\Gamma'(R)$. The characterizations are obtained for $*$-rings having $\Gamma'(R)$ a connected graph, a complete graph, and a star graph. Further, we have shown that for a ring $R$, there is an involution on $R\times R$ such that $\Gamma'(R\times R)$ is disconnected if and only if $R$ is an integral domain.","Fri, 15 Mar 2024 10:13:54 UTC (111 KB)"
"68","Complete integrability of subriemannian geodesic flows on $\mathbb{S}^7$","Wolfram Bauer, Abdellah Laaroussi, Daisuke Tarama","Differential Geometry (math.DG)","Four subriemannian (SR) structures over the Euclidean sphere $\mathbb{S}^7$ are considered in accordance to the previous literature. The defining bracket generating distribution is chosen as the horizontal space in the Hopf fibration, the quaternionic Hopf fibration or spanned by a suitable number of canonical vector fields. In all cases the induced SR geodesic flow on $T^*\mathbb{S}^7$ is studied. Adapting a method by A. Thimm, a maximal set of functionally independent and Poisson commuting first integrals are constructed, including the corresponding SR Hamiltonian. As a result, the complete integrability in the sense of Liouville is proved for the SR geodesic flow. It is observed that these first integrals arise as the symbols of commuting second order differential operators one of them being a (not necessarily intrinsic) sublaplacian. On the way one explicitly derives the Lie algebras of all SR isometry groups intersected with $O(8)$.","Fri, 15 Mar 2024 10:00:00 UTC (30 KB)"
